rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,category,designer
2769,https://boardgamegeek.com/boardgame/85204/kings-war,Kings of War,2,0,60,60,60,2010,7.88455,5.85634,224,https://cf.geekdo-images.com/original/img/5MjMCHlqZ096A4_Qbg2-dJoXv_M=/0x0/pic2619704.jpg,0,"Dice Rolling, Variable Player Powers","Book, Fantasy, Miniatures, Wargame",Alessio Cavatore
2770,https://boardgamegeek.com/boardgame/8130/die-fugger,Die Fugger,2,4,45,45,45,2003,6.4576,5.85586,648,https://cf.geekdo-images.com/original/img/nQ40AkKh-2I4YzT8jyeW7TFzsi0=/0x0/pic33644.jpg,10,Commodity Speculation,"Card Game, Economic, Medieval",Klaus-Jürgen Wrede
2771,https://boardgamegeek.com/boardgame/72420/braggart,Braggart,2,6,30,30,30,2010,6.45359,5.85577,753,https://cf.geekdo-images.com/original/img/F1ngqBbP3H4RYsmzf-J90SWtFW4=/0x0/pic3149244.jpg,10,"Card Drafting, Hand Management, Set Collection, Storytelling, Take That","Card Game, Fantasy, Humor, Medieval",Kyle Daniel
2772,https://boardgamegeek.com/boardgame/192673/martians-story-civilization,Martians: A Story of Civilization,1,4,150,90,150,2016,6.62335,5.85544,620,https://cf.geekdo-images.com/original/img/uOfRpjKaq-VmIqtC4enOtfSZjkE=/0x0/pic3166796.jpg,14,"Action Point Allowance System, Co-operative Play, Variable Player Powers, Worker Placement","City Building, Civilization, Economic, Exploration, Science Fiction, Space Exploration","Grzegorz Okliński, Krzysztof Wolicki"
2773,https://boardgamegeek.com/boardgame/29387/zombie-fluxx,Zombie Fluxx,2,6,40,10,40,2007,6.01759,5.85538,5396,https://cf.geekdo-images.com/original/img/rJPD30K1fnHGRlboANLFzktEaF0=/0x0/pic254239.jpg,8,"Hand Management, Set Collection, Take That","Card Game, Zombies",Andrew Looney
2774,https://boardgamegeek.com/boardgame/161530/jager-und-spaher,Jäger und Späher,2,2,60,60,60,2014,7.00441,5.85478,347,https://cf.geekdo-images.com/original/img/dKqtp2pM81XG2-QjWvmlwuMtkBs=/0x0/pic2058455.jpg,12,"Card Drafting, Deck / Pool Building, Hand Management, Worker Placement",Prehistoric,Gerhard Hecht
2775,https://boardgamegeek.com/boardgame/171630/drakon-fourth-edition,Drakon (fourth edition),2,6,40,40,40,2015,6.56625,5.85471,606,https://cf.geekdo-images.com/original/img/i9F72p03fZB-LCCQbylZvQkV_C4=/0x0/pic2368442.png,10,"Grid Movement, Modular Board, Route/Network Building, Tile Placement, Variable Player Powers","Fantasy, Maze, Miniatures, Racing",Tom Jolly
2776,https://boardgamegeek.com/boardgame/6714/go-away-monster,Go Away Monster!,2,4,15,10,15,1997,6.52586,5.85455,605,https://cf.geekdo-images.com/original/img/ksa7-Zm7YzLC5e9yuyhQse1P6io=/0x0/pic3048467.jpg,3,"Co-operative Play, Pattern Recognition, Set Collection","Children's Game, Puzzle","Monty Stambler, Ann Stambler"
2777,https://boardgamegeek.com/boardgame/21373/federation-commander-romulan-border,Federation Commander:  Romulan Border,2,8,60,60,60,2006,7.68688,5.85445,240,https://cf.geekdo-images.com/original/img/mxPjHZtuM-_gkGdrSugvE-7W6yk=/0x0/pic995826.jpg,10,"Action Point Allowance System, Dice Rolling, Hex-and-Counter, Simultaneous Action Selection","Movies / TV / Radio theme, Science Fiction, Wargame",Stephen V. Cole
2778,https://boardgamegeek.com/boardgame/41636/abandon-ship,Abandon Ship,3,7,30,30,30,2008,6.32139,5.85411,879,https://cf.geekdo-images.com/original/img/vITxMyLbkK86ZjKB4n7xuKYX0fk=/0x0/pic527382.jpg,10,"Area Movement, Dice Rolling","Animals, Bluffing, Nautical",Reiner Knizia
2779,https://boardgamegeek.com/boardgame/4173/anzio,Anzio,2,2,120,120,120,1969,6.68257,5.8541,538,https://cf.geekdo-images.com/original/img/EfqGMm28LSczaxaUQtL7-HKv4Vg=/0x0/pic771974.jpg,12,"Dice Rolling, Hex-and-Counter","Wargame, World War II","Tom Oleson, David Williams (I)"
2780,https://boardgamegeek.com/boardgame/46782/rush-n-crush,Rush n' Crush,3,6,60,60,60,2009,6.39021,5.85402,757,https://cf.geekdo-images.com/original/img/AduO7REsUkX5V68Lqyrd2rztllE=/0x0/pic497816.jpg,12,"Dice Rolling, Modular Board, Variable Player Powers","Dice, Racing, Science Fiction","Guillaume Blossier, Charly Cazals, Frédéric Henry"
2781,https://boardgamegeek.com/boardgame/91773/resident-evil-deck-building-game-alliance,Resident Evil Deck Building Game: Alliance,1,4,45,45,45,2011,6.84163,5.85392,520,https://cf.geekdo-images.com/original/img/N5JaZ8-_L4pAqpJGjlEuSminj3o=/0x0/pic1222026.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management, Partnerships, Variable Player Powers","Card Game, Exploration, Fantasy, Horror, Video Game Theme, Zombies",Tylar Allinder
2782,https://boardgamegeek.com/boardgame/2150/londons-burning,London's Burning,1,2,480,120,480,1995,6.88808,5.85392,412,https://cf.geekdo-images.com/original/img/wRQQU4luJjNko96cBSeVIEcJooA=/0x0/pic125793.jpg,12,Hex-and-Counter,"Aviation / Flight, Wargame, World War II",Ben Knight
2783,https://boardgamegeek.com/boardgame/1705/slapshot,Slapshot,2,10,30,30,30,1982,6.32185,5.85355,907,https://cf.geekdo-images.com/original/img/xt0PzLP7ot3z4jOXCXE_vgD9FVo=/0x0/pic904899.jpg,8,"Deck / Pool Building, Simultaneous Action Selection, Trading","Card Game, Sports","Tom Dalgliesh, Ron Gibson, John Gordon, Lance Gutteridge"
2784,https://boardgamegeek.com/boardgame/125048/dobble-free-demo-version,Dobble Free Demo Version,2,8,5,5,5,0,6.6073,5.85339,676,https://cf.geekdo-images.com/original/img/4c2YiBXRcU1Z0M-Msj_Nlh_3e5s=/0x0/pic3546956.jpg,6,Pattern Recognition,"Children's Game, Party Game, Real-time",Denis Blanchot
2785,https://boardgamegeek.com/boardgame/23685/1805-sea-glory,1805: Sea of Glory,2,2,480,480,480,2009,7.39027,5.8533,263,https://cf.geekdo-images.com/original/img/YJevS24BNt6jo6Cyv6irHrs19xg=/0x0/pic545057.jpg,12,"Chit-Pull System, Dice Rolling, Hex-and-Counter, Secret Unit Deployment, Simulation","Bluffing, Napoleonic, Nautical, Wargame",Phil Fry
2786,https://boardgamegeek.com/boardgame/218050/hotshots,Hotshots,1,4,60,60,60,2017,7.23076,5.85306,316,https://cf.geekdo-images.com/original/img/jDSBk1xI2-uoX6UPpOBNiDrX1wM=/0x0/pic3342007.jpg,10,"Co-operative Play, Dice Rolling, Modular Board, Press Your Luck",none,Justin De Witt
2787,https://boardgamegeek.com/boardgame/179448/monikers-shmonikers,Monikers: Shmonikers,4,20,60,30,60,2015,8.03826,5.85296,178,https://cf.geekdo-images.com/original/img/NTBOQ9g-5UXzCwaKJ2uCrZW8bhs=/0x0/pic2741584.jpg,18,"Acting, Card Drafting, Role Playing",Party Game,"Alex Hague, Justin Vickers"
2788,https://boardgamegeek.com/boardgame/128733/revolver-2-last-stand-malpaso,Revolver 2: Last Stand at Malpaso,2,2,45,45,45,2012,7.07795,5.85289,345,https://cf.geekdo-images.com/original/img/Z9f9ccxnbfx8JZcAm09Md3zN0bs=/0x0/pic1384520.jpg,12,Hand Management,"American West, Bluffing, Card Game, Fighting","Leigh Caple, Mark Chaplin"
2789,https://boardgamegeek.com/boardgame/154510/shadows-malice,Shadows of Malice,1,8,120,120,120,2014,7.44573,5.85275,316,https://cf.geekdo-images.com/original/img/YWKNsBx57kXKDUbju8v8Nu3lkls=/0x0/pic2037527.jpg,14,"Co-operative Play, Dice Rolling, Hex-and-Counter, Modular Board, Role Playing, Trading, Variable Phase Order, Variable Player Powers","Adventure, Fantasy",Jim Felli
2790,https://boardgamegeek.com/boardgame/31745/utopia,Utopia,2,5,60,60,60,2007,6.33975,5.8525,834,https://cf.geekdo-images.com/original/img/4aSmMBADhKcbtoRLayO78iHb0ZA=/0x0/pic730113.jpg,12,"Area Control / Area Influence, Area Movement",City Building,"Arnaud Urbon, Ludovic Vialla"
2791,https://boardgamegeek.com/boardgame/180325/elfenroads,Elfenroads,2,6,90,45,90,2015,7.21334,5.8525,302,https://cf.geekdo-images.com/original/img/OpPWnMr2bhOc2MQdh5C-NC-53_w=/0x0/pic2578236.jpg,13,"Card Drafting, Hand Management, Point to Point Movement, Route/Network Building","Fantasy, Travel",Alan R. Moon
2792,https://boardgamegeek.com/boardgame/62225/infidel,Infidel,2,2,120,120,120,2011,7.42656,5.85241,256,https://cf.geekdo-images.com/original/img/o_xoyGxAoabBDjV26yaPx2VRy4k=/0x0/pic994399.jpg,0,"Dice Rolling, Hex-and-Counter","Medieval, Wargame",Richard H. Berg
